category,model_id,model_name,pipeline_tag,modality,language,license,description,inference_ready,sample_input,sample_output,likes,downloads,last_modified
Climate,microsoft/layoutlmv3-base,Climate Document Understanding,document-question-answering,multimodal,en,mit,Climate report analysis and data extraction,true,"PDF of environmental impact assessment","Impact: Moderate, Mitigation: Required",1000,35000,2024-05-05
Material_Science,materialsproject/mp-bert,MP-BERT,text-classification,text,en,mit,Materials science literature analysis and property prediction,true,"Crystal structure of perovskite materials","PEROVSKITE: 0.88",800,30000,2024-05-08
Material_Science,schwallie/chemberta,ChemBERTa,text-classification,text,en,mit,Chemical text understanding and molecular property prediction,true,"Synthesis of graphene oxide nanoparticles","CHEMICAL_SYNTHESIS: 0.92",700,25000,2024-05-10
Material_Science,CompVis/stable-diffusion-v1-4,Material Visualization,text-to-image,image,en,mit,Material structure visualization and design generation,true,"Crystalline structure of diamond","Generated 3D crystal structure image",2000,400000,2024-05-12
Material_Science,allenai/scibert_scivocab_uncased,SciBERT Materials,scientific-text-classification,text,en,mit,Scientific material research and patent analysis,true,"Patent for novel polymer composite","MATERIALS_PATENT: 0.89",900,40000,2024-05-15
Material_Science,microsoft/layoutlmv3-base,Material Document Understanding,document-question-answering,multimodal,en,mit,Material specification parsing and data extraction,true,"PDF of material safety data sheet","Hazard level: Moderate, Precautions: Required",750,20000,2024-05-18
Engineering,sentence-transformers/all-MiniLM-L6-v2,Engineering Search,feature-extraction,text,en,mit,Technical document search and engineering knowledge management,true,"Find specifications for hydraulic systems","Similarity scores for hydraulic documents",1800,150000,2024-05-20
Engineering,microsoft/layoutlmv3-base,Engineering Document Understanding,document-question-answering,multimodal,en,mit,Technical document parsing and specification extraction,true,"PDF of engineering drawing","Dimensions: 100mm x 50mm, Material: Steel",1200,60000,2024-05-22
Engineering,microsoft/codebert-base,CodeBERT,text-classification,text,en,mit,Code understanding and software engineering applications,true,"Python function for data processing","CODE: 0.95",1600,100000,2024-05-25
Engineering,Salesforce/codet5-base,CodeT5,text2text-generation,text,en,mit,Code generation and software development assistance,true,"Generate a sorting algorithm","def bubble_sort(arr): ...",2000,120000,2024-05-28
Engineering,facebook/bart-large-cnn,Technical Summarization,summarization,text,en,mit,Technical document summarization and engineering reports,true,"Engineering analysis report (8000 words)","Summary: System meets all safety requirements",1400,70000,2024-05-30
Supply_Chain,Salesforce/codet5-base,Supply Chain Automation,text2text-generation,text,en,mit,Supply chain process automation and optimization,true,"Generate inventory management code","def track_inventory(): ...",1000,50000,2024-06-02
Supply_Chain,t5-base,Supply Chain T5,text2text-generation,text,en,mit,Supply chain text processing and logistics optimization,true,"Convert demand forecast to purchase orders","Purchase Order: 1000 units, Supplier: ABC Corp",1200,60000,2024-06-05
Supply_Chain,sentence-transformers/all-MiniLM-L6-v2,Supply Chain Search,feature-extraction,text,en,mit,Supply chain document search and vendor matching,true,"Find suppliers for electronic components","Similarity scores for electronic suppliers",1100,45000,2024-06-08
Supply_Chain,facebook/bart-large-mnli,Supply Chain Classification,zero-shot-classification,text,en,mit,Supply chain event classification and risk assessment,true,"Delivery delayed due to weather","delay: 0.94, on_time: 0.03, early: 0.03",900,35000,2024-06-10
Supply_Chain,microsoft/layoutlmv3-base,Supply Chain Documents,document-question-answering,multimodal,en,mit,Supply chain document processing and data extraction,true,"PDF of shipping manifest","Items: 500 units, Destination: Warehouse A",800,25000,2024-06-12
Retail,CompVis/stable-diffusion-v1-4,Product Visualization,text-to-image,image,en,mit,Product image generation and visual merchandising,true,"Modern minimalist chair design","Generated product image",3000,300000,2024-06-15
Retail,facebook/blip-image-captioning,Product Captioning,image-to-text,multimodal,en,mit,Product description generation and catalog management,true,"Product image of running shoes","Comfortable running shoes with breathable mesh upper",2500,150000,2024-06-18
Retail,cardiffnlp/twitter-roberta-base-sentiment-latest,Review Sentiment,sentiment-analysis,text,en,mit,Customer review sentiment analysis and feedback processing,true,"Great product, highly recommend!","POSITIVE: 0.95",2200,200000,2024-06-20
Retail,facebook/bart-large-mnli,Product Classification,zero-shot-classification,text,en,mit,Product categorization and inventory management,true,"Wireless Bluetooth headphones","electronics: 0.96, accessories: 0.02, clothing: 0.02",1800,100000,2024-06-22
Retail,sentence-transformers/all-MiniLM-L6-v2,Product Search,feature-extraction,text,en,mit,Product search and recommendation systems,true,"Find similar products to iPhone","Similarity scores for smartphone products",2000,180000,2024-06-25
Customer_Support,microsoft/DialoGPT-medium,Customer Support Chatbot,text-generation,text,en,mit,Customer service chatbot for support and assistance,true,"I need help with my order","I'd be happy to help you with your order. Can you provide your order number?",3000,250000,2024-06-28
Customer_Support,facebook/bart-large-mnli,Intent Classification,zero-shot-classification,text,en,mit,Customer intent classification and routing,true,"I want to return this item","return: 0.94, complaint: 0.03, question: 0.03",2500,150000,2024-07-01
Customer_Support,facebook/bart-large-cnn,Support Summarization,summarization,text,en,mit,Customer support ticket summarization and resolution tracking,true,"Customer complaint about delayed delivery","Summary: Customer reported 3-day delivery delay, resolved with refund",2000,80000,2024-07-03
Customer_Support,sentence-transformers/all-MiniLM-L6-v2,Support Search,feature-extraction,text,en,mit,Knowledge base search and FAQ matching,true,"Find solution for login issues","Similarity scores for login troubleshooting",1800,120000,2024-07-05
LLM_Fine-tuned,microsoft/DialoGPT-medium,DialoGPT Chat,text-generation,text,en,mit,Conversational AI for general chat and dialogue,true,"Tell me about artificial intelligence","AI is a field of computer science focused on creating intelligent machines",4000,500000,2024-07-08
LLM_Fine-tuned,facebook/bart-large-mnli,BART Zero-Shot,zero-shot-classification,text,en,mit,Zero-shot classification for various domains and tasks,true,"This is a great product!","positive: 0.92, negative: 0.05, neutral: 0.03",3500,300000,2024-07-10
LLM_Fine-tuned,facebook/bart-large-cnn,BART Summarization,summarization,text,en,mit,Text summarization for various content types,true,"Long article about climate change","Summary: Climate change poses significant threats to global ecosystems",3000,400000,2024-07-12
LLM_Fine-tuned,deepset/roberta-base-squad2,RoBERTa Q&A,question-answering,text,en,mit,Question answering for various knowledge domains,true,"What is machine learning?","Machine learning is a subset of artificial intelligence",2800,350000,2024-07-15
LLM_Fine-tuned,sentence-transformers/all-MiniLM-L6-v2,Sentence Transformers,feature-extraction,text,en,mit,Semantic search and similarity for various applications,true,"Find documents about renewable energy","Similarity scores for renewable energy content",4000,600000,2024-07-18
