category,model_name,description,task,model_url,script_path
Education,facebook/bart-large-cnn,BART for educational content summarization,summarization,https://huggingface.co/facebook/bart-large-cnn,sunnysett_models/Education/facebook_bart_large_cnn.py
Education,sentence-transformers/all-MiniLM-L6-v2,Sentence transformer for educational content similarity,feature-extraction,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,sunnysett_models/Education/sentence_transformers_all_MiniLM_L6_v2.py
Education,microsoft/DialoGPT-medium,DialoGPT for educational chatbots and tutoring,text-generation,https://huggingface.co/microsoft/DialoGPT-medium,sunnysett_models/Education/microsoft_DialoGPT_medium.py
Law,nlpaueb/legal-bert-base-uncased,Legal BERT model for legal text understanding,text-classification,https://huggingface.co/nlpaueb/legal-bert-base-uncased,sunnysett_models/Law/nlpaueb_legal_bert_base_uncased.py
Law,zlucia/legalbert,LegalBERT model for legal document analysis,text-classification,https://huggingface.co/zlucia/legalbert,sunnysett_models/Law/zlucia_legalbert.py
Law,bvanaken/bert-arch,BERT-ARCH for legal argument mining,text-classification,https://huggingface.co/bvanaken/bert-arch,sunnysett_models/Law/bvanaken_bert_arch.py
Law,facebook/bart-large-mnli,BART for zero-shot legal text classification,zero-shot-classification,https://huggingface.co/facebook/bart-large-mnli,sunnysett_models/Law/facebook_bart_large_mnli.py
Law,microsoft/layoutlmv3-base,LayoutLMv3 for legal document understanding,document-question-answering,https://huggingface.co/microsoft/layoutlmv3-base,sunnysett_models/Law/microsoft_layoutlmv3_base.py
Climate,climatebert/distilbert-base-uncased-finetuned-climate,ClimateBERT model for climate-related text analysis,text-classification,https://huggingface.co/climatebert/distilbert-base-uncased-finetuned-climate,sunnysett_models/Climate/climatebert_distilbert_base_uncased_finetuned_climate.py
Climate,allenai/scibert_scivocab_uncased,SciBERT for scientific climate literature analysis,text-classification,https://huggingface.co/allenai/scibert_scivocab_uncased,sunnysett_models/Climate/allenai_scibert_scivocab_uncased.py
Climate,facebook/bart-large-cnn,BART for climate research summarization,summarization,https://huggingface.co/facebook/bart-large-cnn,sunnysett_models/Climate/facebook_bart_large_cnn.py
Climate,sentence-transformers/all-MiniLM-L6-v2,Sentence transformer for climate document similarity,feature-extraction,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,sunnysett_models/Climate/sentence_transformers_all_MiniLM_L6_v2.py
Climate,microsoft/layoutlmv3-base,LayoutLMv3 for climate report document understanding,document-question-answering,https://huggingface.co/microsoft/layoutlmv3-base,sunnysett_models/Climate/microsoft_layoutlmv3_base.py
