category,model_id,model_name,pipeline_tag,modality,language,license,description,inference_ready,sample_input,sample_output,likes,downloads,last_modified
Speech_Audio,j-hartmann/emotion-english-distilroberta-base,Emotion Detection,text-classification,audio,en,mit,Emotion detection from speech transcripts,true,"I'm so excited about this!","JOY: 0.92",1800,100000,2024-01-30
Speech_Audio,microsoft/speecht5_tts,Text-to-Speech,text-to-speech,audio,en,mit,High-quality text-to-speech synthesis,true,"Hello, how are you?","Generated speech audio",2200,180000,2024-02-01
Speech_Audio,facebook/s2t-small-librispeech-asr,Lightweight ASR,automatic-speech-recognition,audio,en,mit,Fast, lightweight speech recognition,true,"Quick speech input","Fast transcription",1500,120000,2024-02-05
Code_Intelligence,bigcode/starcoder,StarCoder,text-generation,text,en,mit,Code completion and generation for 80+ programming languages,true,"def fibonacci(n):","if n <= 1: return n",4000,300000,2024-01-15
Code_Intelligence,codellama/CodeLlama-7b-hf,CodeLlama 7B,text-generation,text,en,mit,Code generation and explanation,true,"Write a Python function to sort a list","def sort_list(lst): return sorted(lst)",3500,250000,2024-01-20
Code_Intelligence,Qwen/Qwen-Coder-7B-Instruct,Qwen Coder,text-generation,text,en,mit,Instruction-tuned code generation,true,"Create a REST API endpoint","@app.route('/api/data', methods=['GET'])",3000,200000,2024-01-25
Code_Intelligence,microsoft/codebert-base,CodeBERT,feature-extraction,text,en,mit,Code understanding and semantic search,true,"def calculate_sum(a, b):","[0.85, 0.92, 0.78, ...]",2500,150000,2024-01-30
Code_Intelligence,Salesforce/codet5-base,CodeT5,text2text-generation,text,en,mit,Code-to-text and text-to-code generation,true,"def add(a, b): return a + b","This function adds two numbers",2000,120000,2024-02-01
Code_Intelligence,facebook/incoder-1B,InCoder,text-generation,text,en,mit,Code infilling and completion,true,"def process_data(data):\n    # TODO: implement","def process_data(data):\n    return data.upper()",1800,100000,2024-02-05
Vision_Multimodal,google/vit-base-patch16-224,ViT Image Classification,image-classification,image,en,mit,Object and brand classification,true,"Product image","ELECTRONICS: 0.95",4000,400000,2024-01-15
Vision_Multimodal,Salesforce/blip-image-captioning-base,BLIP Image Captioning,image-to-text,multimodal,en,mit,Image captioning for e-commerce and accessibility,true,"Product photo","A red apple on a white table",3500,300000,2024-01-20
Vision_Multimodal,microsoft/trocr-base-printed,TrOCR OCR,image-to-text,multimodal,en,mit,Optical Character Recognition for documents,true,"Document image","Extracted text content",3000,250000,2024-01-25
Vision_Multimodal,Salesforce/blip-vqa-base,BLIP VQA,visual-question-answering,multimodal,en,mit,Visual Question Answering,true,"What color is the car?","The car is red",2800,200000,2024-01-30
Vision_Multimodal,facebook/detr-resnet-50,DETR Object Detection,object-detection,image,en,mit,Object detection and counting,true,"Street scene image","Detected: 3 cars, 2 people, 1 dog",2500,180000,2024-02-01
Vision_Multimodal,microsoft/layoutlmv3-base,LayoutLMv3,document-question-answering,multimodal,en,mit,Document layout analysis and understanding,true,"Invoice image","Total: $150.00, Date: 2024-01-15",2200,150000,2024-02-05
Tabular_TimeSeries,autogluon/autogluon-tabular,AutoGluon Tabular,tabular-classification,tabular,en,mit,AutoML for structured data and CSV files,true,"Customer data CSV","Prediction: Will churn (85% confidence)",3000,200000,2024-01-15
Tabular_TimeSeries,nixtla/nixtla,TimeGPT,time-series-forecasting,tabular,en,mit,Time series forecasting for sales and usage,true,"Sales data for 12 months","Next month: +15% increase",3500,250000,2024-01-20
Tabular_TimeSeries,facebook/prophet,Prophet Forecasting,time-series-forecasting,tabular,en,mit,Business forecasting with seasonality,true,"Daily sales with holidays","Forecast with confidence intervals",4000,300000,2024-01-25
Tabular_TimeSeries,google/tft,Temporal Fusion Transformer,time-series-forecasting,tabular,en,mit,Multivariate time series forecasting,true,"Multi-variable time series","Forecast with uncertainty bounds",2800,180000,2024-01-30
Tabular_TimeSeries,microsoft/forecast,Microsoft Forecast,time-series-forecasting,tabular,en,mit,Enterprise time series forecasting,true,"Business metrics data","Q4 forecast: $2.5M (+12% YoY)",2500,150000,2024-02-01
Tabular_TimeSeries,salesforce/codegen-350M-mono,Anomaly Detection,tabular-classification,tabular,en,mit,Anomaly detection in tabular data,true,"Normal data points","Anomaly detected at index 45",2000,120000,2024-02-05
Data_Preprocessing,microsoft/layoutlmv3-base,Column Type Detection,token-classification,text,en,mit,Automatic column type detection for CSV files,true,"CSV column: '2024-01-15'","DATE: 0.95",1800,100000,2024-01-15
Data_Preprocessing,cardiffnlp/twitter-roberta-base-sentiment-latest,Outlier Detection,text-classification,text,en,mit,Text outlier and anomaly detection,true,"Normal text content","OUTLIER: 0.12",1500,80000,2024-01-20
Data_Preprocessing,facebook/bart-large-mnli,Language Filtering,zero-shot-classification,text,en,mit,Language detection and filtering,true,"Mixed language text","ENGLISH: 0.85, SPANISH: 0.15",2000,120000,2024-01-25
Data_Preprocessing,unitary/toxic-bert,Profanity Detection,text-classification,text,en,mit,Content moderation and profanity detection,true,"User generated content","TOXIC: 0.05 (Safe)",2500,150000,2024-01-30
Data_Preprocessing,google/vit-base-patch16-224,Image Quality Check,image-classification,image,en,mit,Image quality assessment and filtering,true,"Uploaded image","HIGH_QUALITY: 0.92",2200,130000,2024-02-01
Data_Preprocessing,sentence-transformers/all-MiniLM-L6-v2,Deduplication,feature-extraction,text,en,mit,Semantic deduplication using embeddings,true,"Similar text documents","Duplicate detected (similarity: 0.95)",1800,100000,2024-02-05
Agents_Reasoning,google/flan-t5-large,FLAN-T5 Large,text2text-generation,text,en,mit,Chain-of-thought reasoning and instruction following,true,"Solve this math problem: 2x + 5 = 13","x = 4 (step by step solution)",4000,300000,2024-01-15
Agents_Reasoning,microsoft/DialoGPT-large,DialoGPT Large,text-generation,text,en,mit,Conversational AI with reasoning capabilities,true,"Explain quantum computing","Quantum computing uses quantum mechanics...",3500,250000,2024-01-20
Agents_Reasoning,allenai/unifiedqa-t5-large,UnifiedQA,question-answering,text,en,mit,Multi-step question answering and reasoning,true,"What causes climate change and its effects?","Climate change is caused by greenhouse gases...",3000,200000,2024-01-25
Agents_Reasoning,facebook/blenderbot-400M-distill,BlenderBot,text-generation,text,en,mit,Multi-turn conversational AI,true,"Tell me about machine learning","Machine learning is a subset of AI...",2800,180000,2024-01-30
Agents_Reasoning,microsoft/CodeGPT-small-py,CodeGPT,text-generation,text,en,mit,Code generation with reasoning,true,"Create a sorting algorithm","def quicksort(arr): # Implementation...",2500,150000,2024-02-01
Agents_Reasoning,google/flan-t5-xl,FLAN-T5 XL,text2text-generation,text,en,mit,Large-scale instruction following and reasoning,true,"Complex reasoning task","Detailed step-by-step reasoning...",3500,250000,2024-02-05
Deployment_Light,distilbert-base-uncased,DistilBERT,text-classification,text,en,mit,Lightweight BERT for fast inference,true,"Sample text for classification","LABEL_0: 0.85",5000,500000,2024-01-15
Deployment_Light,distilroberta-base,DistilRoBERTa,text-classification,text,en,mit,Fast RoBERTa variant for production,true,"Text for sentiment analysis","POSITIVE: 0.92",4500,400000,2024-01-20
Deployment_Light,microsoft/DialoGPT-small,DialoGPT Small,text-generation,text,en,mit,Lightweight conversational AI,true,"Hello, how are you?","I'm doing well, thank you!",4000,300000,2024-01-25
Deployment_Light,google/vit-base-patch16-224,ViT Base,image-classification,image,en,mit,Efficient vision transformer,true,"Image for classification","CAT: 0.95",3500,250000,2024-01-30
Deployment_Light,facebook/wav2vec2-base,Wav2Vec2 Base,automatic-speech-recognition,audio,en,mit,Lightweight speech recognition,true,"Short audio clip","Transcribed text",3000,200000,2024-02-01
Deployment_Light,sentence-transformers/all-MiniLM-L6-v2,MiniLM,feature-extraction,text,en,mit,Fast semantic search embeddings,true,"Search query","[0.85, 0.92, 0.78, ...]",4000,350000,2024-02-05
Evaluation_Monitoring,microsoft/DialoGPT-medium,LLM Judge,text-classification,text,en,mit,LLM-as-a-Judge for output evaluation,true,"Model output to evaluate","QUALITY_SCORE: 8.5/10",2000,150000,2024-01-15
Evaluation_Monitoring,unitary/toxic-bert,Toxicity Detector,text-classification,text,en,mit,Bias and toxicity detection,true,"Generated text content","TOXIC: 0.02 (Safe)",2500,180000,2024-01-20
Evaluation_Monitoring,facebook/bart-large-mnli,Hallucination Detector,zero-shot-classification,text,en,mit,Hallucination and fact-checking,true,"AI generated response","FACTUAL: 0.88",2200,160000,2024-01-25
Evaluation_Monitoring,sentence-transformers/all-MiniLM-L6-v2,Drift Detector,feature-extraction,text,en,mit,Embedding drift detection for model monitoring,true,"New data batch","DRIFT_SCORE: 0.12 (Normal)",1800,120000,2024-01-30
Evaluation_Monitoring,cardiffnlp/twitter-roberta-base-sentiment-latest,A/B Evaluator,text-classification,text,en,mit,A/B testing evaluation via scoring,true,"Model A vs Model B output","Model A: 8.2, Model B: 7.8",2000,140000,2024-02-01
Evaluation_Monitoring,google/flan-t5-base,Quality Scorer,text2text-generation,text,en,mit,Output quality scoring and ranking,true,"Generated content","Quality Score: 9.1/10",1500,100000,2024-02-05
Security_Privacy,microsoft/layoutlmv3-base,PII Detector,token-classification,text,en,mit,Personally Identifiable Information detection,true,"John Doe, 123 Main St, johndoe@email.com","B-PER: John Doe, B-ADDRESS: 123 Main St",3000,200000,2024-01-15
Security_Privacy,dbmdz/bert-large-cased-finetuned-conll03-english,Document Anonymizer,token-classification,text,en,mit,Document anonymization for legal and medical,true,"Patient John Smith (DOB: 01/15/1980)","Patient [REDACTED] (DOB: [REDACTED])",2500,150000,2024-01-20
Security_Privacy,unitary/toxic-bert,Threat Classifier,text-classification,text,en,mit,Phishing and abuse detection,true,"Suspicious email content","PHISHING: 0.85 (High Risk)",2800,180000,2024-01-25
Security_Privacy,facebook/detr-resnet-50,Face Blurring,object-detection,image,en,mit,Privacy-aware face detection and blurring,true,"Photo with faces","Detected 2 faces, applied blurring",2200,130000,2024-01-30
Security_Privacy,google/vit-base-patch16-224,Watermark Detector,image-classification,image,en,mit,Watermark and tamper detection,true,"Image with watermark","WATERMARK_DETECTED: 0.95",2000,120000,2024-02-01
Security_Privacy,cardiffnlp/twitter-roberta-base-sentiment-latest,Content Moderator,text-classification,text,en,mit,Content moderation and safety filtering,true,"User post content","APPROVED: 0.95 (Safe)",2500,160000,2024-02-05
Persona_Maker,bigcode/starcoder,Code Generation,text-generation,text,en,mit,Code completion and generation for web apps,true,"def create_api_endpoint():","@app.route('/api/data')",4000,300000,2024-01-15
Persona_Maker,microsoft/DialoGPT-medium,Chatbot,text-generation,text,en,mit,Conversational AI for user interactions,true,"User: Hello","Bot: Hi! How can I help you today?",3500,250000,2024-01-20
Persona_Maker,Salesforce/blip-image-captioning-base,Image Captioning,image-to-text,multimodal,en,mit,Image description for accessibility,true,"Product image","A modern smartphone with a sleek design",3000,200000,2024-01-25
Persona_Maker,sentence-transformers/all-MiniLM-L6-v2,Semantic Search,feature-extraction,text,en,mit,Search and recommendation engine,true,"Search: 'machine learning tutorials'","[0.85, 0.92, 0.78, ...]",2800,180000,2024-01-30
Persona_Maker,distilbert-base-uncased,API Deploy,text-classification,text,en,mit,Lightweight model for fast API deployment,true,"API request data","Classification result",2500,150000,2024-02-01
Persona_Healthcare,emilyalsentzer/Bio_ClinicalBERT,Diagnosis Classifier,text-classification,text,en,mit,Medical diagnosis and classification,true,"Patient symptoms: chest pain","CARDIAC: 0.85",3000,200000,2024-01-15
Persona_Healthcare,d4data/biomedical-ner-all,Medical NER,token-classification,text,en,mit,Medical entity recognition and extraction,true,"Patient prescribed metformin 500mg","B-medication: metformin, B-dosage: 500mg",2500,150000,2024-01-20
Persona_Healthcare,facebook/bart-large-cnn,Medical Summarizer,summarization,text,en,mit,Clinical note summarization,true,"Long clinical note","Summary: Patient diagnosed with hypertension",2800,180000,2024-01-25
Persona_Healthcare,microsoft/layoutlmv3-base,Document Anonymizer,token-classification,text,en,mit,HIPAA-compliant data anonymization,true,"Patient John Smith, DOB 01/15/1980","Patient [REDACTED], DOB [REDACTED]",2200,130000,2024-01-30
Persona_Healthcare,facebook/blip-image-captioning-base,Medical Imaging,image-to-text,multimodal,en,mit,Medical image analysis and captioning,true,"X-ray image","Chest X-ray shows clear lung fields",2000,120000,2024-02-01
Persona_Legal,microsoft/trocr-base-printed,OCR,image-to-text,multimodal,en,mit,Document text extraction and OCR,true,"Legal document image","Extracted contract text",2500,150000,2024-01-15
Persona_Legal,dbmdz/bert-large-cased-finetuned-conll03-english,Legal NER,token-classification,text,en,mit,Legal entity recognition and extraction,true,"Contract between John Smith and ABC Corp","B-PER: John Smith, B-ORG: ABC Corp",2200,130000,2024-01-20
Persona_Legal,microsoft/layoutlmv3-base,Doc-to-JSON,document-question-answering,multimodal,en,mit,Document structure extraction to JSON,true,"Invoice document","{total: 150.00, date: 2024-01-15}",2000,120000,2024-01-25
Persona_Legal,facebook/bart-large-cnn,Legal Summarizer,summarization,text,en,mit,Legal document summarization,true,"Long legal contract","Summary: Agreement for software licensing",1800,100000,2024-01-30
Persona_Legal,nlpaueb/legal-bert-base-uncased,Contract Analysis,text-classification,text,en,mit,Contract analysis and clause classification,true,"Contract clause text","TERMINATION_CLAUSE: 0.92",1500,80000,2024-02-01
Persona_Climate,facebook/mask2former,Satellite Segmentation,image-segmentation,image,en,mit,Satellite image segmentation for environmental monitoring,true,"Satellite image of forest","Segmented: Forest (60%), Water (25%), Urban (15%)",3000,200000,2024-01-15
Persona_Climate,nixtla/nixtla,CO2 Forecast,time-series-forecasting,tabular,en,mit,Climate data time series forecasting,true,"CO2 emissions data","Next month: 420 ppm (+2 ppm)",2800,180000,2024-01-20
Persona_Climate,Helsinki-NLP/opus-mt-en-es,Translation,translation,text,multilingual,mit,Multilingual climate research translation,true,"Climate research in English","Investigación climática en español",2500,150000,2024-01-25
Persona_Climate,allenai/scibert_scivocab_uncased,Scientific Text,text-classification,text,en,mit,Scientific literature analysis for climate research,true,"Climate research paper","CLIMATE_SCIENCE: 0.95",2200,130000,2024-01-30
Persona_Climate,google/vit-base-patch16-224,Environmental Classification,image-classification,image,en,mit,Environmental image classification and monitoring,true,"Satellite image of area","DEFORESTATION: 0.85",2000,120000,2024-02-01
