category,model_id,description,pipeline,modality,type,script_path,url
Agriculture,google/vit-base-patch16-224,Agricultural disease detection and crop monitoring,image-classification,Vision,Neural/Deep,sunnysett_models/Agriculture/google_vit_base_patch16_224.py,https://huggingface.co/google/vit-base-patch16-224
Agriculture,google/vit-large-patch16-224,Crop maturity assessment and harvest timing,image-classification,Vision,Neural/Deep,sunnysett_models/Agriculture/google_vit_large_patch16_224.py,https://huggingface.co/google/vit-large-patch16-224
Audio_Speech,facebook/fairseq_s2t_translator,Real-time speech translation for global communication,speech-to-text,Audio,Neural/Deep,sunnysett_models/Audio_Speech/facebook_fairseq_s2t_translator.py,https://huggingface.co/facebook/fairseq_s2t_translator
Audio_Speech,facebook/hubert-large-ls960,Self-supervised speech recognition for multiple languages,automatic-speech-recognition,Audio,Neural/Deep,sunnysett_models/Audio_Speech/facebook_hubert_large_ls960.py,https://huggingface.co/facebook/hubert-large-ls960
Audio_Speech,facebook/s2t-small-librispeech-asr,Lightweight speech recognition for mobile applications,automatic-speech-recognition,Audio,Neural/Deep,sunnysett_models/Audio_Speech/facebook_s2t_small_librispeech_asr.py,https://huggingface.co/facebook/s2t-small-librispeech-asr
Audio_Speech,facebook/textlesslib_s2t,Direct speech-to-speech translation without text,speech-to-text,Audio,Neural/Deep,sunnysett_models/Audio_Speech/facebook_textlesslib_s2t.py,https://huggingface.co/facebook/textlesslib_s2t
Audio_Speech,facebook/wav2vec2-large-960h,High-accuracy speech recognition for call centers,automatic-speech-recognition,Audio,Neural/Deep,sunnysett_models/Audio_Speech/facebook_wav2vec2_large_960h.py,https://huggingface.co/facebook/wav2vec2-large-960h
Business_Intelligence,autogluon/autogluon-tabular,Business performance prediction and optimization,tabular-regression,Tabular/Time-series,Classical/AutoML,sunnysett_models/Business_Intelligence/autogluon_autogluon_tabular.py,https://huggingface.co/autogluon/autogluon-tabular
Business_Intelligence,facebook/bart-large-cnn,Executive report summarization and business insights,summarization,Text/NLP,Neural/Deep,sunnysett_models/Business_Intelligence/facebook_bart_large_cnn.py,https://huggingface.co/facebook/bart-large-cnn
Business_Intelligence,facebook/bart-large-mnli,Business risk assessment and mitigation strategies,zero-shot-classification,Text/NLP,Neural/Deep,sunnysett_models/Business_Intelligence/facebook_bart_large_mnli.py,https://huggingface.co/facebook/bart-large-mnli
Climate,allenai/scibert_scivocab_uncased,SciBERT for scientific climate literature analysis,text-classification,Text/NLP,Neural/Deep,sunnysett_models/Climate/allenai_scibert_scivocab_uncased.py,https://huggingface.co/allenai/scibert_scivocab_uncased
Climate,climatebert/distilbert-base-uncased-finetuned-climate,ClimateBERT model for climate-related text analysis,text-classification,Text/NLP,Neural/Deep,sunnysett_models/Climate/climatebert_distilbert_base_uncased_finetuned_climate.py,https://huggingface.co/climatebert/distilbert-base-uncased-finetuned-climate
Climate,microsoft/layoutlmv3-base,LayoutLMv3 for climate report document understanding,document-question-answering,Vision+Text,Neural/Deep,sunnysett_models/Climate/microsoft_layoutlmv3_base.py,https://huggingface.co/microsoft/layoutlmv3-base
Climate,sentence-transformers/all-MiniLM-L6-v2,Sentence transformer for climate document similarity,feature-extraction,Text/NLP,Neural/Deep,sunnysett_models/Climate/sentence_transformers_all_MiniLM_L6_v2.py,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2
Code_Intelligence,Qwen/Qwen-Coder-7B-Instruct,Instruction-tuned code generation,text-generation,Text/NLP,Neural/Deep,sunnysett_models/Code_Intelligence/Qwen_Qwen_Coder_7B_Instruct.py,https://huggingface.co/Qwen/Qwen-Coder-7B-Instruct
Code_Intelligence,Salesforce/codet5-base,Code-to-text and text-to-code generation,text2text-generation,Text/NLP,Neural/Deep,sunnysett_models/Code_Intelligence/Salesforce_codet5_base.py,https://huggingface.co/Salesforce/codet5-base
Code_Intelligence,bigcode/starcoder,Code completion and generation for 80+ programming languages,text-generation,Text/NLP,Neural/Deep,sunnysett_models/Code_Intelligence/bigcode_starcoder.py,https://huggingface.co/bigcode/starcoder
Code_Intelligence,codellama/CodeLlama-7b-hf,Code generation and explanation,text-generation,Text/NLP,Neural/Deep,sunnysett_models/Code_Intelligence/codellama_CodeLlama_7b_hf.py,https://huggingface.co/codellama/CodeLlama-7b-hf
Code_Intelligence,facebook/incoder-1B,Code infilling and completion,text-generation,Text/NLP,Neural/Deep,sunnysett_models/Code_Intelligence/facebook_incoder_1B.py,https://huggingface.co/facebook/incoder-1B
Code_Intelligence,microsoft/codebert-base,Code understanding and semantic search,feature-extraction,Text/NLP,Neural/Deep,sunnysett_models/Code_Intelligence/microsoft_codebert_base.py,https://huggingface.co/microsoft/codebert-base
Computer_Vision,facebook/convnext-base,Modern ConvNet for image classification and feature extraction,image-classification,Vision,Neural/Deep,sunnysett_models/Computer_Vision/facebook_convnext_base.py,https://huggingface.co/facebook/convnext-base
Cybersecurity,cybersecurity-nlp/bert-malware,BERT model trained for malware detection and analysis,text-classification,Text/NLP,Neural/Deep,sunnysett_models/Cybersecurity/cybersecurity_nlp_bert_malware.py,https://huggingface.co/cybersecurity-nlp/bert-malware
Cybersecurity,microsoft/DialoGPT-medium,DialoGPT for security chatbot and incident response,text-generation,Text/NLP,Neural/Deep,sunnysett_models/Cybersecurity/microsoft_DialoGPT_medium.py,https://huggingface.co/microsoft/DialoGPT-medium
Cybersecurity,roberta-cybersec,RoBERTa model fine-tuned for cybersecurity text analysis,text-classification,Text/NLP,Neural/Deep,sunnysett_models/Cybersecurity/roberta_cybersec.py,
Cybersecurity,symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli,Multilingual RoBERTa for natural language inference in security contexts,text-classification,Text/NLP,Neural/Deep,sunnysett_models/Cybersecurity/symanto_sn_xlm_roberta_base_snli_mnli_anli_xnli.py,https://huggingface.co/symanto/sn-xlm-roberta-base-snli-mnli-anli-xnli
Data_Preprocessing,cardiffnlp/twitter-roberta-base-sentiment-latest,Text outlier and anomaly detection,text-classification,Text/NLP,Neural/Deep,sunnysett_models/Data_Preprocessing/cardiffnlp_twitter_roberta_base_sentiment_latest.py,https://huggingface.co/cardiffnlp/twitter-roberta-base-sentiment-latest
Data_Preprocessing,facebook/bart-large-mnli,Language detection and filtering,zero-shot-classification,Text/NLP,Neural/Deep,sunnysett_models/Data_Preprocessing/facebook_bart_large_mnli.py,https://huggingface.co/facebook/bart-large-mnli
Data_Preprocessing,google/vit-base-patch16-224,Image quality assessment and filtering,image-classification,Vision,Neural/Deep,sunnysett_models/Data_Preprocessing/google_vit_base_patch16_224.py,https://huggingface.co/google/vit-base-patch16-224
Data_Preprocessing,microsoft/layoutlmv3-base,Automatic column type detection for CSV files,token-classification,Text/NLP,Neural/Deep,sunnysett_models/Data_Preprocessing/microsoft_layoutlmv3_base.py,https://huggingface.co/microsoft/layoutlmv3-base
Data_Preprocessing,sentence-transformers/all-MiniLM-L6-v2,Semantic deduplication using embeddings,feature-extraction,Text/NLP,Neural/Deep,sunnysett_models/Data_Preprocessing/sentence_transformers_all_MiniLM_L6_v2.py,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2
Data_Preprocessing,unitary/toxic-bert,Content moderation and profanity detection,text-classification,Text/NLP,Neural/Deep,sunnysett_models/Data_Preprocessing/unitary_toxic_bert.py,https://huggingface.co/unitary/toxic-bert
Deployment_Light,distilbert-base-uncased,Lightweight BERT for fast inference,text-classification,Text/NLP,Neural/Deep,sunnysett_models/Deployment_Light/distilbert_base_uncased.py,
Deployment_Light,distilroberta-base,Fast RoBERTa variant for production,text-classification,Text/NLP,Neural/Deep,sunnysett_models/Deployment_Light/distilroberta_base.py,
Deployment_Light,facebook/wav2vec2-base,Lightweight speech recognition,automatic-speech-recognition,Audio,Neural/Deep,sunnysett_models/Deployment_Light/facebook_wav2vec2_base.py,https://huggingface.co/facebook/wav2vec2-base
Deployment_Light,google/vit-base-patch16-224,Efficient vision transformer,image-classification,Vision,Neural/Deep,sunnysett_models/Deployment_Light/google_vit_base_patch16_224.py,https://huggingface.co/google/vit-base-patch16-224
Deployment_Light,microsoft/DialoGPT-small,Lightweight conversational AI,text-generation,Text/NLP,Neural/Deep,sunnysett_models/Deployment_Light/microsoft_DialoGPT_small.py,https://huggingface.co/microsoft/DialoGPT-small
Deployment_Light,sentence-transformers/all-MiniLM-L6-v2,Fast semantic search embeddings,feature-extraction,Text/NLP,Neural/Deep,sunnysett_models/Deployment_Light/sentence_transformers_all_MiniLM_L6_v2.py,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2
Education,deepset/roberta-base-squad2,RoBERTa model fine-tuned for question answering,question-answering,Text/NLP,Neural/Deep,sunnysett_models/Education/deepset_roberta_base_squad2.py,https://huggingface.co/deepset/roberta-base-squad2
Education,openai/whisper-base,Whisper model for speech recognition and transcription,automatic-speech-recognition,Audio,Neural/Deep,sunnysett_models/Education/openai_whisper_base.py,https://huggingface.co/openai/whisper-base
Engineering,Salesforce/codet5-base,CodeT5 for code generation and summarization,text2text-generation,Text/NLP,Neural/Deep,sunnysett_models/Engineering/Salesforce_codet5_base.py,https://huggingface.co/Salesforce/codet5-base
Engineering,microsoft/codebert-base,CodeBERT for code understanding and generation,text-classification,Text/NLP,Neural/Deep,sunnysett_models/Engineering/microsoft_codebert_base.py,https://huggingface.co/microsoft/codebert-base
Engineering,sentence-transformers/all-MiniLM-L6-v2,Sentence transformer for semantic search and similarity,feature-extraction,Text/NLP,Neural/Deep,sunnysett_models/Engineering/sentence_transformers_all_minilm_l6_v2.py,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2
Evaluation_Monitoring,cardiffnlp/twitter-roberta-base-sentiment-latest,A/B testing evaluation via scoring,text-classification,Text/NLP,Neural/Deep,sunnysett_models/Evaluation_Monitoring/cardiffnlp_twitter_roberta_base_sentiment_latest.py,https://huggingface.co/cardiffnlp/twitter-roberta-base-sentiment-latest
Evaluation_Monitoring,facebook/bart-large-mnli,Hallucination and fact-checking,zero-shot-classification,Text/NLP,Neural/Deep,sunnysett_models/Evaluation_Monitoring/facebook_bart_large_mnli.py,https://huggingface.co/facebook/bart-large-mnli
Evaluation_Monitoring,google/flan-t5-base,Output quality scoring and ranking,text2text-generation,Text/NLP,Neural/Deep,sunnysett_models/Evaluation_Monitoring/google_flan_t5_base.py,https://huggingface.co/google/flan-t5-base
Evaluation_Monitoring,microsoft/DialoGPT-medium,LLM-as-a-Judge for output evaluation,text-classification,Text/NLP,Neural/Deep,sunnysett_models/Evaluation_Monitoring/microsoft_DialoGPT_medium.py,https://huggingface.co/microsoft/DialoGPT-medium
Evaluation_Monitoring,sentence-transformers/all-MiniLM-L6-v2,Embedding drift detection for model monitoring,feature-extraction,Text/NLP,Neural/Deep,sunnysett_models/Evaluation_Monitoring/sentence_transformers_all_MiniLM_L6_v2.py,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2
Evaluation_Monitoring,unitary/toxic-bert,Bias and toxicity detection,text-classification,Text/NLP,Neural/Deep,sunnysett_models/Evaluation_Monitoring/unitary_toxic_bert.py,https://huggingface.co/unitary/toxic-bert
Finance,ProsusAI/finbert,FinBERT,text-classification,Text/NLP,Neural/Deep,sunnysett_models/Finance/prosusai_finbert.py,https://huggingface.co/ProsusAI/finbert
Finance,mrm8488/distilroberta-finetuned-financial-news-sentiment,DistilRoBERTa model fine-tuned for financial news sentiment,sentiment-analysis,Text/NLP,Neural/Deep,sunnysett_models/Finance/mrm8488_distilroberta_finetuned_financial_news_sentiment.py,https://huggingface.co/mrm8488/distilroberta-finetuned-financial-news-sentiment
Finance,nlpaueb/financial-bert,Financial BERT model for financial text understanding,text-classification,Text/NLP,Neural/Deep,sunnysett_models/Finance/nlpaueb_financial_bert.py,https://huggingface.co/nlpaueb/financial-bert
Finance,yiyanghkust/finbert-tone,FinBERT model fine-tuned for financial sentiment analysis,sentiment-analysis,Text/NLP,Neural/Deep,sunnysett_models/Finance/yiyanghkust_finbert_tone.py,https://huggingface.co/yiyanghkust/finbert-tone
Healthcare,cambridgeltl/SapBERT-from-PubMedBERT-fulltext,SapBERT for biomedical entity linking and normalization,feature-extraction,Text/NLP,Neural/Deep,sunnysett_models/Healthcare/cambridgeltl_SapBERT_from_PubMedBERT_fulltext.py,https://huggingface.co/cambridgeltl/SapBERT-from-PubMedBERT-fulltext
Healthcare,d4data/biomedical-ner-all,Biomedical NER model for extracting medical entities,token-classification,Text/NLP,Neural/Deep,sunnysett_models/Healthcare/d4data_biomedical_ner_all.py,https://huggingface.co/d4data/biomedical-ner-all
Healthcare,emilyalsentzer/Bio_ClinicalBERT,Bio ClinicalBERT,text-classification,Text/NLP,Neural/Deep,sunnysett_models/Healthcare/emilyalsentzer_bio_clinicalbert.py,https://huggingface.co/emilyalsentzer/Bio_ClinicalBERT
Healthcare,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,PubMedBERT for biomedical text understanding,text-classification,Text/NLP,Neural/Deep,sunnysett_models/Healthcare/microsoft_BiomedNLP_PubMedBERT_base_uncased_abstract_fulltext.py,https://huggingface.co/microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext
Law,bvanaken/bert-arch,BERT-ARCH for legal argument mining,text-classification,Text/NLP,Neural/Deep,sunnysett_models/Law/bvanaken_bert_arch.py,https://huggingface.co/bvanaken/bert-arch
Law,nlpaueb/legal-bert-base-uncased,Legal BERT model for legal text understanding,text-classification,Text/NLP,Neural/Deep,sunnysett_models/Law/nlpaueb_legal_bert_base_uncased.py,https://huggingface.co/nlpaueb/legal-bert-base-uncased
Law,zlucia/legalbert,LegalBERT model for legal document analysis,text-classification,Text/NLP,Neural/Deep,sunnysett_models/Law/zlucia_legalbert.py,https://huggingface.co/zlucia/legalbert
Marketing,Salesforce/blip-image-captioning,BLIP model for image captioning and visual question answering,image-to-text,Vision+Text,Neural/Deep,sunnysett_models/Marketing/Salesforce_blip_image_captioning.py,https://huggingface.co/Salesforce/blip-image-captioning
Marketing,bert-base-uncased,General purpose BERT model for text classification and sentiment analysis,text-classification,Text/NLP,Neural/Deep,sunnysett_models/Marketing/bert_base_uncased.py,
Marketing,cardiffnlp/twitter-roberta-base-sentiment-latest,RoBERTa model fine-tuned for Twitter sentiment analysis,sentiment-analysis,Text/NLP,Neural/Deep,sunnysett_models/Marketing/cardiffnlp_twitter_roberta_base_sentiment_latest.py,https://huggingface.co/cardiffnlp/twitter-roberta-base-sentiment-latest
Material_Science,CompVis/stable-diffusion-v1-4,Stable Diffusion for generating material visualizations,text-to-image,Vision,Neural/Deep,sunnysett_models/Material_Science/CompVis_stable_diffusion_v1_4.py,https://huggingface.co/CompVis/stable-diffusion-v1-4
Material_Science,materialsproject/mp-bert,BERT model trained on materials science literature,text-classification,Text/NLP,Neural/Deep,sunnysett_models/Material_Science/materialsproject_mp_bert.py,https://huggingface.co/materialsproject/mp-bert
Material_Science,schwallie/chemberta,ChemBERTa model for chemical text understanding,text-classification,Text/NLP,Neural/Deep,sunnysett_models/Material_Science/schwallie_chemberta.py,https://huggingface.co/schwallie/chemberta
Multilingual,Helsinki-NLP/opus-mt-en-de,English to German translation,translation,Text/NLP,Neural/Deep,sunnysett_models/Multilingual/Helsinki_NLP_opus_mt_en_de.py,https://huggingface.co/Helsinki-NLP/opus-mt-en-de
Multilingual,Helsinki-NLP/opus-mt-en-es,High-quality English to Spanish translation,translation,Text/NLP,Neural/Deep,sunnysett_models/Multilingual/Helsinki_NLP_opus_mt_en_es.py,https://huggingface.co/Helsinki-NLP/opus-mt-en-es
Multilingual,Helsinki-NLP/opus-mt-en-fr,English to French translation for international apps,translation,Text/NLP,Neural/Deep,sunnysett_models/Multilingual/Helsinki_NLP_opus_mt_en_fr.py,https://huggingface.co/Helsinki-NLP/opus-mt-en-fr
Multilingual,facebook/m2m100_418M,100+ language translation model,translation,Text/NLP,Neural/Deep,sunnysett_models/Multilingual/facebook_m2m100_418M.py,https://huggingface.co/facebook/m2m100_418M
Multilingual,facebook/mbart-large-50-many-to-many-mmt,Multilingual text summarization,summarization,Text/NLP,Neural/Deep,sunnysett_models/Multilingual/facebook_mbart_large_50_many_to_many_mmt.py,https://huggingface.co/facebook/mbart-large-50-many-to-many-mmt
Multilingual,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,Cross-lingual embeddings for 50+ languages,feature-extraction,Text/NLP,Neural/Deep,sunnysett_models/Multilingual/sentence_transformers_paraphrase_multilingual_MiniLM_L12_v2.py,https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2
Persona_Climate,Helsinki-NLP/opus-mt-en-es,Multilingual climate research translation,translation,Text/NLP,Neural/Deep,sunnysett_models/Persona_Climate/Helsinki_NLP_opus_mt_en_es.py,https://huggingface.co/Helsinki-NLP/opus-mt-en-es
Persona_Climate,allenai/scibert_scivocab_uncased,Scientific literature analysis for climate research,text-classification,Text/NLP,Neural/Deep,sunnysett_models/Persona_Climate/allenai_scibert_scivocab_uncased.py,https://huggingface.co/allenai/scibert_scivocab_uncased
Persona_Climate,facebook/mask2former,Satellite image segmentation for environmental monitoring,image-segmentation,Vision,Neural/Deep,sunnysett_models/Persona_Climate/facebook_mask2former.py,https://huggingface.co/facebook/mask2former
Persona_Climate,google/vit-base-patch16-224,Environmental image classification and monitoring,image-classification,Vision,Neural/Deep,sunnysett_models/Persona_Climate/google_vit_base_patch16_224.py,https://huggingface.co/google/vit-base-patch16-224
Persona_Climate,nixtla/nixtla,Climate data time series forecasting,time-series-forecasting,Tabular/Time-series,Neural/Deep,sunnysett_models/Persona_Climate/nixtla_nixtla.py,https://huggingface.co/nixtla/nixtla
Persona_Healthcare,d4data/biomedical-ner-all,Medical entity recognition and extraction,token-classification,Text/NLP,Neural/Deep,sunnysett_models/Persona_Healthcare/d4data_biomedical_ner_all.py,https://huggingface.co/d4data/biomedical-ner-all
Persona_Healthcare,emilyalsentzer/Bio_ClinicalBERT,Medical diagnosis and classification,text-classification,Text/NLP,Neural/Deep,sunnysett_models/Persona_Healthcare/emilyalsentzer_Bio_ClinicalBERT.py,https://huggingface.co/emilyalsentzer/Bio_ClinicalBERT
Persona_Healthcare,facebook/bart-large-cnn,Clinical note summarization,summarization,Text/NLP,Neural/Deep,sunnysett_models/Persona_Healthcare/facebook_bart_large_cnn.py,https://huggingface.co/facebook/bart-large-cnn
Persona_Healthcare,facebook/blip-image-captioning-base,Medical image analysis and captioning,image-to-text,Vision+Text,Neural/Deep,sunnysett_models/Persona_Healthcare/facebook_blip_image_captioning_base.py,https://huggingface.co/facebook/blip-image-captioning-base
Persona_Healthcare,microsoft/layoutlmv3-base,HIPAA-compliant data anonymization,token-classification,Text/NLP,Neural/Deep,sunnysett_models/Persona_Healthcare/microsoft_layoutlmv3_base.py,https://huggingface.co/microsoft/layoutlmv3-base
Persona_Legal,dbmdz/bert-large-cased-finetuned-conll03-english,Legal entity recognition and extraction,token-classification,Text/NLP,Neural/Deep,sunnysett_models/Persona_Legal/dbmdz_bert_large_cased_finetuned_conll03_english.py,https://huggingface.co/dbmdz/bert-large-cased-finetuned-conll03-english
Persona_Legal,facebook/bart-large-cnn,Legal document summarization,summarization,Text/NLP,Neural/Deep,sunnysett_models/Persona_Legal/facebook_bart_large_cnn.py,https://huggingface.co/facebook/bart-large-cnn
Persona_Legal,microsoft/layoutlmv3-base,Document structure extraction to JSON,document-question-answering,Vision+Text,Neural/Deep,sunnysett_models/Persona_Legal/microsoft_layoutlmv3_base.py,https://huggingface.co/microsoft/layoutlmv3-base
Persona_Legal,microsoft/trocr-base-printed,Document text extraction and OCR,image-to-text,Vision+Text,Neural/Deep,sunnysett_models/Persona_Legal/microsoft_trocr_base_printed.py,https://huggingface.co/microsoft/trocr-base-printed
Persona_Legal,nlpaueb/legal-bert-base-uncased,Contract analysis and clause classification,text-classification,Text/NLP,Neural/Deep,sunnysett_models/Persona_Legal/nlpaueb_legal_bert_base_uncased.py,https://huggingface.co/nlpaueb/legal-bert-base-uncased
Persona_Maker,Salesforce/blip-image-captioning-base,Image description for accessibility,image-to-text,Vision+Text,Neural/Deep,sunnysett_models/Persona_Maker/Salesforce_blip_image_captioning_base.py,https://huggingface.co/Salesforce/blip-image-captioning-base
Persona_Maker,bigcode/starcoder,Code completion and generation for web apps,text-generation,Text/NLP,Neural/Deep,sunnysett_models/Persona_Maker/bigcode_starcoder.py,https://huggingface.co/bigcode/starcoder
Persona_Maker,distilbert-base-uncased,Lightweight model for fast API deployment,text-classification,Text/NLP,Neural/Deep,sunnysett_models/Persona_Maker/distilbert_base_uncased.py,
Persona_Maker,microsoft/DialoGPT-medium,Conversational AI for user interactions,text-generation,Text/NLP,Neural/Deep,sunnysett_models/Persona_Maker/microsoft_DialoGPT_medium.py,https://huggingface.co/microsoft/DialoGPT-medium
Persona_Maker,sentence-transformers/all-MiniLM-L6-v2,Search and recommendation engine,feature-extraction,Text/NLP,Neural/Deep,sunnysett_models/Persona_Maker/sentence_transformers_all_MiniLM_L6_v2.py,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2
Predictive_Analytics,facebook/prophet,Business revenue prediction with seasonality,time-series-forecasting,Tabular/Time-series,Classical/AutoML,sunnysett_models/Predictive_Analytics/facebook_prophet.py,https://huggingface.co/facebook/prophet
Predictive_Analytics,google/tft,Complex multivariate time series forecasting,time-series-forecasting,Tabular/Time-series,Neural/Deep,sunnysett_models/Predictive_Analytics/google_tft.py,https://huggingface.co/google/tft
Predictive_Analytics,nixtla/nixtla,Inventory and demand forecasting for supply chain,time-series-forecasting,Tabular/Time-series,Neural/Deep,sunnysett_models/Predictive_Analytics/nixtla_nixtla.py,https://huggingface.co/nixtla/nixtla
Real_Estate,facebook/blip-image-captioning,Automated property description generation for listings,image-to-text,Vision+Text,Neural/Deep,sunnysett_models/Real_Estate/facebook_blip_image_captioning.py,https://huggingface.co/facebook/blip-image-captioning
Security_Privacy,cardiffnlp/twitter-roberta-base-sentiment-latest,Content moderation and safety filtering,text-classification,Text/NLP,Neural/Deep,sunnysett_models/Security_Privacy/cardiffnlp_twitter_roberta_base_sentiment_latest.py,https://huggingface.co/cardiffnlp/twitter-roberta-base-sentiment-latest
Security_Privacy,dbmdz/bert-large-cased-finetuned-conll03-english,Document anonymization for legal and medical,token-classification,Text/NLP,Neural/Deep,sunnysett_models/Security_Privacy/dbmdz_bert_large_cased_finetuned_conll03_english.py,https://huggingface.co/dbmdz/bert-large-cased-finetuned-conll03-english
Security_Privacy,facebook/detr-resnet-50,Privacy-aware face detection and blurring,object-detection,Vision,Neural/Deep,sunnysett_models/Security_Privacy/facebook_detr_resnet_50.py,https://huggingface.co/facebook/detr-resnet-50
Security_Privacy,google/vit-base-patch16-224,Watermark and tamper detection,image-classification,Vision,Neural/Deep,sunnysett_models/Security_Privacy/google_vit_base_patch16_224.py,https://huggingface.co/google/vit-base-patch16-224
Security_Privacy,microsoft/layoutlmv3-base,Personally Identifiable Information detection,token-classification,Text/NLP,Neural/Deep,sunnysett_models/Security_Privacy/microsoft_layoutlmv3_base.py,https://huggingface.co/microsoft/layoutlmv3-base
Security_Privacy,unitary/toxic-bert,Phishing and abuse detection,text-classification,Text/NLP,Neural/Deep,sunnysett_models/Security_Privacy/unitary_toxic_bert.py,https://huggingface.co/unitary/toxic-bert
Speech_Audio,facebook/s2t-small-librispeech-asr,"Fast, lightweight speech recognition",automatic-speech-recognition,Audio,Neural/Deep,sunnysett_models/Speech_Audio/facebook_s2t_small_librispeech_asr.py,https://huggingface.co/facebook/s2t-small-librispeech-asr
Speech_Audio,facebook/wav2vec2-large-960h-lv60-self,Robust speech recognition with noise robustness,automatic-speech-recognition,Audio,Neural/Deep,sunnysett_models/Speech_Audio/facebook_wav2vec2_large_960h_lv60_self.py,https://huggingface.co/facebook/wav2vec2-large-960h-lv60-self
Speech_Audio,j-hartmann/emotion-english-distilroberta-base,Emotion detection from speech transcripts,text-classification,Text/NLP,Neural/Deep,sunnysett_models/Speech_Audio/j_hartmann_emotion_english_distilroberta_base.py,https://huggingface.co/j-hartmann/emotion-english-distilroberta-base
Speech_Audio,microsoft/speecht5_tts,High-quality text-to-speech synthesis,text-to-speech,Audio,Neural/Deep,sunnysett_models/Speech_Audio/microsoft_speecht5_tts.py,https://huggingface.co/microsoft/speecht5_tts
Speech_Audio,openai/whisper-large-v2,High-accuracy speech-to-text for 99 languages,automatic-speech-recognition,Audio,Neural/Deep,sunnysett_models/Speech_Audio/openai_whisper_large_v2.py,https://huggingface.co/openai/whisper-large-v2
